Dex Number,Name,HP,Attack,Defense,Special Attack,Special Defense,Speed,Weight,Height,Primary Type,Secondary Type,Abilities,Formats
1015,Munkidori,88,75,66,130,90,106,12.2,1,Poison,Psychic,"Toxic Chain, Frisk",UU
1016,Fezandipiti,88,91,82,70,125,99,30.1,1.4,Poison,Fairy,"Toxic Chain, Technician",RU
1017,Ogerpon,80,120,84,60,96,110,39.8,1.2,Grass,NA,Defiant,UU
1017,Ogerpon-Cornerstone,80,120,84,60,96,110,39.8,1.2,Grass,Rock,Sturdy,OU
1017,Ogerpon-Hearthflame,80,120,84,60,96,110,39.8,1.2,Grass,Fire,Mold Breaker,Uber
1017,Ogerpon-Wellspring,80,120,84,60,96,110,39.8,1.2,Grass,Water,Water Absorb,OU
102,Exeggcute,60,40,80,60,45,40,2.5,0.4,Grass,Psychic,"Chlorophyll, Harvest",National Dex
103,Exeggutor,95,95,85,125,75,55,120,2,Grass,Psychic,"Chlorophyll, Harvest",National Dex
103,Exeggutor-Alola,95,105,85,125,75,45,415.6,10.9,Grass,Dragon,"Frisk, Harvest",National Dex
104,Cubone,50,50,95,40,50,35,6.5,0.4,Ground,NA,"Rock Head, Lightning Rod, Battle Armor",National Dex
105,Marowak,60,80,110,50,80,45,45,1,Ground,NA,"Rock Head, Lightning Rod, Battle Armor",National Dex
105,Marowak-Alola,60,80,110,50,80,45,34,1,Fire,Ghost,"Cursed Body, Lightning Rod, Rock Head",National Dex
105,Marowak-Alola-Totem,60,80,110,50,80,45,98,1.7,Fire,Ghost,Rock Head,National Dex
106,Hitmonlee,50,120,53,35,110,87,49.8,1.5,Fighting,NA,"Limber, Reckless, Unburden",National Dex
107,Hitmonchan,50,105,79,35,110,76,50.2,1.4,Fighting,NA,"Keen Eye, Iron Fist, Inner Focus",National Dex
108,Lickitung,90,55,75,60,75,30,65.5,1.2,Normal,NA,"Own Tempo, Oblivious, Cloud Nine",National Dex
109,Koffing,40,65,95,60,45,35,1,0.6,Poison,NA,"Levitate, Neutralizing Gas, Stench",LC
11,Metapod,50,20,55,25,25,30,9.9,0.7,Bug,NA,Shed Skin,National Dex
110,Weezing,65,90,120,85,70,60,9.5,1.2,Poison,NA,"Levitate, Neutralizing Gas, Stench",PU
110,Weezing-Galar,65,90,120,85,70,60,16,3,Poison,Fairy,"Levitate, Neutralizing Gas, Misty Surge",UU
111,Rhyhorn,80,85,95,30,30,25,115,1,Ground,Rock,"Lightning Rod, Rock Head, Reckless",National Dex
112,Rhydon,105,130,120,45,45,40,120,1.9,Ground,Rock,"Lightning Rod, Rock Head, Reckless",National Dex
113,Chansey,250,5,5,35,105,50,34.6,1.1,Normal,NA,"Natural Cure, Serene Grace, Healer",PU
114,Tangela,65,55,115,100,40,60,35,1,Grass,NA,"Chlorophyll, Leaf Guard, Regenerator",National Dex
115,Kangaskhan,105,95,80,40,80,90,80,2.2,Normal,NA,"Early Bird, Scrappy, Inner Focus",National Dex
116,Horsea,30,40,70,70,25,60,8,0.4,Water,NA,"Swift Swim, Sniper, Damp",National Dex
117,Seadra,55,65,95,95,45,85,25,1.2,Water,NA,"Poison Point, Sniper, Damp",National Dex
118,Goldeen,45,67,60,35,50,63,15,0.6,Water,NA,"Swift Swim, Water Veil, Lightning Rod",National Dex
119,Seaking,80,92,65,65,80,68,39,1.3,Water,NA,"Swift Swim, Water Veil, Lightning Rod",National Dex
12,Butterfree,60,45,50,90,80,70,32,1.1,Bug,Flying,"Compound Eyes, Tinted Lens",National Dex
120,Staryu,30,45,55,70,55,85,34.5,0.8,Water,NA,"Illuminate, Natural Cure, Analytic",National Dex
121,Starmie,60,75,85,100,85,115,80,1.1,Water,Psychic,"Illuminate, Natural Cure, Analytic",National Dex
122,Mr. Mime,40,45,65,100,120,90,54.5,1.3,Psychic,Fairy,"Soundproof, Filter, Technician",National Dex
122,Mr. Mime-Galar,50,65,65,90,90,100,56.8,1.4,Ice,Psychic,"Vital Spirit, Screen Cleaner, Ice Body",National Dex
123,Scyther,70,110,80,55,80,105,56,1.5,Bug,Flying,"Swarm, Technician, Steadfast",NU
124,Jynx,65,50,35,115,95,95,40.6,1.4,Ice,Psychic,"Oblivious, Forewarn, Dry Skin",National Dex
125,Electabuzz,65,83,57,95,85,105,30,1.1,Electric,NA,"Static, Vital Spirit",National Dex
126,Magmar,65,95,57,100,85,93,44.5,1.3,Fire,NA,"Flame Body, Vital Spirit",National Dex
127,Pinsir,65,125,100,55,70,85,55,1.5,Bug,NA,"Hyper Cutter, Mold Breaker, Moxie",National Dex
128,Tauros,75,100,95,40,70,110,88.4,1.4,Normal,NA,"Intimidate, Anger Point, Sheer Force",PU
128,Tauros-Paldea-Aqua,75,110,105,30,70,100,110,1.4,Fighting,Water,"Intimidate, Anger Point, Cud Chew",RU
128,Tauros-Paldea-Blaze,75,110,105,30,70,100,85,1.4,Fighting,Fire,"Intimidate, Anger Point, Cud Chew",NU
128,Tauros-Paldea-Combat,75,110,105,30,70,100,115,1.4,Fighting,NA,"Intimidate, Anger Point, Cud Chew",PU
129,Magikarp,20,10,55,15,20,80,10,0.9,Water,NA,"Swift Swim, Rattled",LC
13,Weedle,40,35,30,20,20,50,3.2,0.3,Bug,Poison,"Shield Dust, Run Away",National Dex
130,Gyarados,95,125,79,60,100,81,235,6.5,Water,Flying,"Intimidate, Moxie",RUBL
131,Lapras,130,85,80,85,95,60,220,2.5,Water,Ice,"Water Absorb, Shell Armor, Hydration",National Dex
132,Ditto,48,48,48,48,48,48,4,0.3,Normal,NA,"Limber, Imposter",Untiered
133,Eevee,55,55,50,45,65,55,6.5,0.3,Normal,NA,"Run Away, Adaptability, Anticipation",LC
133,Eevee-Starter,65,75,70,65,85,75,6.5,0.3,Normal,NA,"Run Away, Adaptability, Anticipation",National Dex
134,Vaporeon,130,65,60,110,95,65,29,1,Water,NA,"Water Absorb, Hydration",RU
135,Jolteon,65,65,60,110,95,130,24.5,0.8,Electric,NA,"Volt Absorb, Quick Feet",NU
136,Flareon,65,130,60,95,110,65,25,0.9,Fire,NA,"Flash Fire, Guts",Untiered
137,Porygon,65,60,70,85,75,40,36.5,0.8,Normal,NA,"Trace, Download, Analytic",National Dex
138,Omanyte,35,40,100,90,55,35,7.5,0.4,Rock,Water,"Swift Swim, Shell Armor, Weak Armor",National Dex
139,Omastar,70,60,125,115,70,55,35,1,Rock,Water,"Swift Swim, Shell Armor, Weak Armor",National Dex
14,Kakuna,45,25,50,25,25,35,10,0.6,Bug,Poison,Shed Skin,National Dex
140,Kabuto,30,80,90,55,45,55,11.5,0.5,Rock,Water,"Swift Swim, Battle Armor, Weak Armor",National Dex
141,Kabutops,60,115,105,65,70,80,40.5,1.3,Rock,Water,"Swift Swim, Battle Armor, Weak Armor",National Dex
142,Aerodactyl,80,105,65,60,75,130,59,1.8,Rock,Flying,"Rock Head, Pressure, Unnerve",National Dex
143,Snorlax,160,110,65,65,110,30,460,2.1,Normal,NA,"Immunity, Thick Fat, Gluttony",NUBL
144,Articuno,90,85,100,95,125,85,55.4,1.7,Ice,Flying,"Pressure, Snow Cloak",PU
144,Articuno-Galar,90,85,85,125,100,95,50.9,1.7,Psychic,Flying,Competitive,NU
145,Zapdos,90,90,85,125,90,100,52.6,1.6,Electric,Flying,"Pressure, Static",OU
145,Zapdos-Galar,90,125,90,85,90,100,58.2,1.6,Fighting,Flying,Defiant,UU
146,Moltres,90,100,90,125,85,90,60,2,Fire,Flying,"Pressure, Flame Body",UU
146,Moltres-Galar,90,85,90,100,125,90,66,2,Dark,Flying,Berserk,RUBL
147,Dratini,41,64,45,50,50,50,3.3,1.8,Dragon,NA,"Shed Skin, Marvel Scale",LC
148,Dragonair,61,84,65,70,70,70,16.5,4,Dragon,NA,"Shed Skin, Marvel Scale",NFE
149,Dragonite,91,134,95,100,100,80,210,2.2,Dragon,Flying,"Inner Focus, Multiscale",OU
15,Beedrill,65,90,40,45,80,75,29.5,1,Bug,Poison,"Swarm, Sniper",National Dex
150,Mewtwo,106,110,90,154,90,130,122,2,Psychic,NA,"Pressure, Unnerve",Uber
151,Mew,100,100,100,100,100,100,4,0.4,Psychic,NA,Synchronize,RUBL
152,Chikorita,45,49,65,49,65,45,6.4,0.9,Grass,NA,"Overgrow, Leaf Guard",National Dex
153,Bayleef,60,62,80,63,80,60,15.8,1.2,Grass,NA,"Overgrow, Leaf Guard",National Dex
154,Meganium,80,82,100,83,100,80,100.5,1.8,Grass,NA,"Overgrow, Leaf Guard",National Dex
155,Cyndaquil,39,52,43,60,50,65,7.9,0.5,Fire,NA,"Blaze, Flash Fire",LC
156,Quilava,58,64,58,80,65,80,19,0.9,Fire,NA,"Blaze, Flash Fire",NFE
157,Typhlosion,78,84,78,109,85,100,79.5,1.7,Fire,NA,"Blaze, Flash Fire",NU
157,Typhlosion-Hisui,73,84,78,119,85,95,69.8,1.6,Fire,Ghost,"Blaze, Frisk",RU
158,Totodile,50,65,64,44,48,43,9.5,0.6,Water,NA,"Torrent, Sheer Force",National Dex
159,Croconaw,65,80,80,59,63,58,25,1.1,Water,NA,"Torrent, Sheer Force",National Dex
16,Pidgey,40,45,40,35,35,56,1.8,0.3,Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",National Dex
160,Feraligatr,85,105,100,79,83,78,88.8,2.3,Water,NA,"Torrent, Sheer Force",National Dex
161,Sentret,35,46,34,35,45,20,6,0.8,Normal,NA,"Run Away, Keen Eye, Frisk",LC
162,Furret,85,76,64,45,55,90,32.5,1.8,Normal,NA,"Run Away, Keen Eye, Frisk",Untiered
163,Hoothoot,60,30,30,36,56,50,21.2,0.7,Normal,Flying,"Insomnia, Keen Eye, Tinted Lens",LC
164,Noctowl,100,50,50,86,96,70,40.8,1.6,Normal,Flying,"Insomnia, Keen Eye, Tinted Lens",Untiered
165,Ledyba,40,20,30,40,80,55,10.8,1,Bug,Flying,"Swarm, Early Bird, Rattled",National Dex
166,Ledian,55,35,50,55,110,85,35.6,1.4,Bug,Flying,"Swarm, Early Bird, Iron Fist",National Dex
167,Spinarak,40,60,40,40,40,30,8.5,0.5,Bug,Poison,"Swarm, Insomnia, Sniper",LC
168,Ariados,70,90,70,60,70,40,33.5,1.1,Bug,Poison,"Swarm, Insomnia, Sniper",Untiered
169,Crobat,85,90,80,70,80,130,75,1.8,Poison,Flying,"Inner Focus, Infiltrator",National Dex
17,Pidgeotto,63,60,55,50,50,71,30,1.1,Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",National Dex
170,Chinchou,75,38,38,56,56,67,12,0.5,Water,Electric,"Volt Absorb, Illuminate, Water Absorb",National Dex
171,Lanturn,125,58,58,76,76,67,22.5,1.2,Water,Electric,"Volt Absorb, Illuminate, Water Absorb",National Dex
172,Pichu,20,40,15,35,35,60,2,0.3,Electric,NA,"Static, Lightning Rod",LC
173,Cleffa,50,25,28,45,55,15,3,0.3,Fairy,NA,"Cute Charm, Magic Guard, Friend Guard",LC
174,Igglybuff,90,30,15,40,20,15,1,0.3,Normal,Fairy,"Cute Charm, Competitive, Friend Guard",LC
175,Togepi,35,20,65,40,65,20,1.5,0.3,Fairy,NA,"Hustle, Serene Grace, Super Luck",National Dex
176,Togetic,55,40,85,80,105,40,3.2,0.6,Fairy,Flying,"Hustle, Serene Grace, Super Luck",National Dex
177,Natu,40,50,45,70,45,70,2,0.2,Psychic,Flying,"Synchronize, Early Bird, Magic Bounce",National Dex
178,Xatu,65,75,70,95,70,95,15,1.5,Psychic,Flying,"Synchronize, Early Bird, Magic Bounce",National Dex
179,Mareep,55,40,40,65,45,35,7.8,0.6,Electric,NA,"Static, Plus",LC
18,Pidgeot,83,80,75,70,70,101,39.5,1.5,Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",National Dex
180,Flaaffy,70,55,55,80,60,45,13.3,0.8,Electric,NA,"Static, Plus",NFE
181,Ampharos,90,75,85,115,90,55,61.5,1.4,Electric,NA,"Static, Plus",Untiered
182,Bellossom,75,80,95,90,100,50,5.8,0.4,Grass,NA,"Chlorophyll, Healer",National Dex
183,Marill,70,20,50,20,50,40,8.5,0.4,Water,Fairy,"Thick Fat, Huge Power, Sap Sipper",NFE
184,Azumarill,100,50,80,60,80,50,28.5,0.8,Water,Fairy,"Thick Fat, Huge Power, Sap Sipper",UU
185,Sudowoodo,70,100,115,30,65,30,38,1.2,Rock,NA,"Sturdy, Rock Head, Rattled",Untiered
186,Politoed,90,75,75,90,100,70,33.9,1.1,Water,NA,"Water Absorb, Damp, Drizzle",RU
187,Hoppip,35,35,40,35,55,50,0.5,0.4,Grass,Flying,"Chlorophyll, Leaf Guard, Infiltrator",LC
188,Skiploom,55,45,50,45,65,80,1,0.6,Grass,Flying,"Chlorophyll, Leaf Guard, Infiltrator",NFE
189,Jumpluff,75,55,70,55,95,110,3,0.8,Grass,Flying,"Chlorophyll, Leaf Guard, Infiltrator",Untiered
19,Rattata,30,56,35,25,35,72,3.5,0.3,Normal,NA,"Run Away, Guts, Hustle",National Dex
19,Rattata-Alola,30,56,35,25,35,72,3.8,0.3,Dark,Normal,"Gluttony, Hustle, Thick Fat",National Dex
190,Aipom,55,70,55,40,55,85,11.5,0.8,Normal,NA,"Run Away, Pickup, Skill Link",NFE
191,Sunkern,30,30,30,30,30,30,1.8,0.3,Grass,NA,"Chlorophyll, Solar Power, Early Bird",LC
192,Sunflora,75,75,55,105,85,30,8.5,0.8,Grass,NA,"Chlorophyll, Solar Power, Early Bird",Untiered
193,Yanma,65,65,45,75,45,95,38,1.2,Bug,Flying,"Speed Boost, Compound Eyes, Frisk",NFE
194,Wooper,55,45,45,25,25,15,8.5,0.4,Water,Ground,"Damp, Water Absorb, Unaware",LC
194,Wooper-Paldea,55,45,45,25,25,15,11,0.4,Poison,Ground,"Poison Point, Water Absorb, Unaware",LC
195,Quagsire,95,85,85,65,65,35,75,1.4,Water,Ground,"Damp, Water Absorb, Unaware",RU
196,Espeon,65,65,60,130,95,110,26.5,0.9,Psychic,NA,"Synchronize, Magic Bounce",RU
197,Umbreon,95,65,110,60,130,65,27,1,Dark,NA,"Synchronize, Inner Focus",RU
198,Murkrow,60,85,42,85,42,91,2.1,0.5,Dark,Flying,"Insomnia, Super Luck, Prankster",NFE
199,Slowking,95,75,80,100,110,30,79.5,2,Water,Psychic,"Oblivious, Own Tempo, Regenerator",UU
199,Slowking-Galar,95,65,80,110,110,30,79.5,1.8,Poison,Psychic,"Curious Medicine, Own Tempo, Regenerator",OU
2,Ivysaur,60,62,63,80,80,60,13,1,Grass,Poison,"Overgrow, Chlorophyll",National Dex
20,Raticate,55,81,60,50,70,97,18.5,0.7,Normal,NA,"Run Away, Guts, Hustle",National Dex
20,Raticate-Alola,75,71,70,40,80,77,25.5,0.7,Dark,Normal,"Gluttony, Hustle, Thick Fat",National Dex
20,Raticate-Alola-Totem,75,71,70,40,80,77,105,1.4,Dark,Normal,Thick Fat,National Dex
200,Misdreavus,60,60,60,85,85,85,1,0.7,Ghost,NA,Levitate,NFE
201,Unown,48,72,48,72,48,48,5,0.5,Psychic,NA,Levitate,National Dex
202,Wobbuffet,190,33,58,33,58,33,28.5,1.3,Psychic,NA,"Shadow Tag, Telepathy",National Dex
203,Girafarig,70,80,65,90,65,85,41.5,1.5,Normal,Psychic,"Inner Focus, Early Bird, Sap Sipper",NFE
204,Pineco,50,65,90,35,35,15,7.2,0.6,Bug,NA,"Sturdy, Overcoat",LC
205,Forretress,75,90,140,60,60,40,125.8,1.2,Bug,Steel,"Sturdy, Overcoat",RU
206,Dunsparce,100,70,70,65,65,45,14,1.5,Normal,NA,"Serene Grace, Run Away, Rattled",NFE
207,Gligar,65,75,105,35,65,85,64.8,1.1,Ground,Flying,"Hyper Cutter, Sand Veil, Immunity",NU
208,Steelix,75,85,200,55,65,30,400,9.2,Steel,Ground,"Rock Head, Sturdy, Sheer Force",National Dex
209,Snubbull,60,80,50,40,40,30,7.8,0.6,Fairy,NA,"Intimidate, Run Away, Rattled",National Dex
21,Spearow,40,60,30,31,31,70,2,0.3,Normal,Flying,"Keen Eye, Sniper",National Dex
210,Granbull,90,120,75,60,60,45,48.7,1.4,Fairy,NA,"Intimidate, Quick Feet, Rattled",National Dex
211,Qwilfish,65,95,85,55,55,85,3.9,0.5,Water,Poison,"Poison Point, Swift Swim, Intimidate",NU
211,Qwilfish-Hisui,65,95,85,55,55,85,3.9,0.5,Dark,Poison,"Poison Point, Swift Swim, Intimidate",NU
212,Scizor,70,130,100,55,80,65,118,1.8,Bug,Steel,"Swarm, Technician, Light Metal",UU
213,Shuckle,20,10,230,10,230,5,20.5,0.6,Bug,Rock,"Sturdy, Gluttony, Contrary",National Dex
214,Heracross,80,125,75,40,95,85,54,1.5,Bug,Fighting,"Swarm, Guts, Moxie",NU
215,Sneasel,55,95,55,35,75,115,28,0.9,Dark,Ice,"Inner Focus, Keen Eye, Pickpocket",PU
215,Sneasel-Hisui,55,95,55,35,75,115,27,0.9,Fighting,Poison,"Inner Focus, Keen Eye, Pickpocket",PU
216,Teddiursa,60,80,50,50,50,40,8.8,0.6,Normal,NA,"Pickup, Quick Feet, Honey Gather",LC
217,Ursaring,90,130,75,75,75,55,125.8,1.8,Normal,NA,"Guts, Quick Feet, Unnerve",PU
218,Slugma,40,40,40,70,40,20,35,0.7,Fire,NA,"Magma Armor, Flame Body, Weak Armor",LC
219,Magcargo,60,50,120,90,80,30,55,0.8,Fire,Rock,"Magma Armor, Flame Body, Weak Armor",Untiered
22,Fearow,65,90,65,61,61,100,38,1.2,Normal,Flying,"Keen Eye, Sniper",National Dex
220,Swinub,50,50,40,30,30,50,6.5,0.4,Ice,Ground,"Oblivious, Snow Cloak, Thick Fat",LC
221,Piloswine,100,100,80,60,60,50,55.8,1.1,Ice,Ground,"Oblivious, Snow Cloak, Thick Fat",NU
222,Corsola,65,55,95,65,95,35,5,0.6,Water,Rock,"Hustle, Natural Cure, Regenerator",National Dex
222,Corsola-Galar,60,55,100,65,100,30,0.5,0.6,Ghost,NA,"Weak Armor, Cursed Body",National Dex
223,Remoraid,35,65,35,65,35,65,12,0.6,Water,NA,"Hustle, Sniper, Moody",National Dex
224,Octillery,75,105,75,105,75,45,28.5,0.9,Water,NA,"Suction Cups, Sniper, Moody",National Dex
225,Delibird,45,55,45,65,45,75,16,0.9,Ice,Flying,"Vital Spirit, Hustle, Insomnia",Untiered
226,Mantine,85,40,70,80,140,70,220,2.1,Water,Flying,"Swift Swim, Water Absorb, Water Veil",National Dex
227,Skarmory,65,80,140,40,70,70,50.5,1.7,Steel,Flying,"Keen Eye, Sturdy, Weak Armor",National Dex
228,Houndour,45,60,30,80,50,65,10.8,0.6,Dark,Fire,"Early Bird, Flash Fire, Unnerve",LC
229,Houndoom,75,90,50,110,80,95,35,1.4,Dark,Fire,"Early Bird, Flash Fire, Unnerve",PU
23,Ekans,35,60,44,40,54,55,6.9,2,Poison,NA,"Intimidate, Shed Skin, Unnerve",LC
230,Kingdra,75,95,95,95,95,85,152,1.8,Water,Dragon,"Swift Swim, Sniper, Damp",National Dex
231,Phanpy,90,60,60,40,40,40,33.5,0.5,Ground,NA,"Pickup, Sand Veil",LC
232,Donphan,90,120,120,60,60,50,120,1.1,Ground,NA,"Sturdy, Sand Veil",RU
233,Porygon2,85,80,90,105,95,60,32.5,0.6,Normal,NA,"Trace, Download, Analytic",National Dex
234,Stantler,73,95,62,85,65,85,71.2,1.4,Normal,NA,"Intimidate, Frisk, Sap Sipper",NFE
235,Smeargle,55,20,35,20,45,75,58,1.2,Normal,NA,"Own Tempo, Technician, Moody",National Dex
236,Tyrogue,35,35,35,35,35,35,21,0.7,Fighting,NA,"Guts, Steadfast, Vital Spirit",National Dex
237,Hitmontop,50,95,95,35,110,70,48,1.4,Fighting,NA,"Intimidate, Technician, Steadfast",National Dex
238,Smoochum,45,30,15,85,65,65,6,0.4,Ice,Psychic,"Oblivious, Forewarn, Hydration",National Dex
239,Elekid,45,63,37,65,55,95,23.5,0.6,Electric,NA,"Static, Vital Spirit",National Dex
24,Arbok,60,95,69,65,79,80,65,3.5,Poison,NA,"Intimidate, Shed Skin, Unnerve",PU
240,Magby,45,75,37,70,55,83,21.4,0.7,Fire,NA,"Flame Body, Vital Spirit",National Dex
241,Miltank,95,80,105,40,70,100,75.5,1.2,Normal,NA,"Thick Fat, Scrappy, Sap Sipper",National Dex
242,Blissey,255,10,10,75,135,55,46.8,1.5,Normal,NA,"Natural Cure, Serene Grace, Healer",OU
243,Raikou,90,85,75,115,100,115,178,1.9,Electric,NA,"Pressure, Inner Focus",National Dex
244,Entei,115,115,85,90,75,100,198,2.1,Fire,NA,"Pressure, Inner Focus",National Dex
245,Suicune,100,75,115,90,115,85,187,2,Water,NA,"Pressure, Inner Focus",National Dex
246,Larvitar,50,64,50,45,50,41,72,0.6,Rock,Ground,"Guts, Sand Veil",LC
247,Pupitar,70,84,70,65,70,51,152,1.2,Rock,Ground,Shed Skin,NFE
248,Tyranitar,100,134,110,95,100,61,202,2,Rock,Dark,"Sand Stream, Unnerve",RU
249,Lugia,106,90,130,90,154,110,216,5.2,Psychic,Flying,"Pressure, Multiscale",National Dex
25,Pikachu,35,55,40,50,50,90,6,0.4,Electric,NA,"Static, Lightning Rod",Untiered
25,Pikachu-Alola,35,55,40,50,50,90,6,0.4,Electric,NA,"Static, Lightning Rod",Untiered
25,Pikachu-Hoenn,35,55,40,50,50,90,6,0.4,Electric,NA,"Static, Lightning Rod",Untiered
25,Pikachu-Kalos,35,55,40,50,50,90,6,0.4,Electric,NA,"Static, Lightning Rod",Untiered
25,Pikachu-Original,35,55,40,50,50,90,6,0.4,Electric,NA,"Static, Lightning Rod",Untiered
25,Pikachu-Partner,35,55,40,50,50,90,6,0.4,Electric,NA,"Static, Lightning Rod",Untiered
25,Pikachu-Sinnoh,35,55,40,50,50,90,6,0.4,Electric,NA,"Static, Lightning Rod",Untiered
25,Pikachu-Starter,45,80,50,75,60,120,6,0.4,Electric,NA,"Static, Lightning Rod",National Dex
25,Pikachu-Unova,35,55,40,50,50,90,6,0.4,Electric,NA,"Static, Lightning Rod",Untiered
25,Pikachu-World,35,55,40,50,50,90,6,0.4,Electric,NA,"Static, Lightning Rod",Untiered
250,Ho-Oh,106,130,90,110,154,90,199,3.8,Fire,Flying,"Pressure, Regenerator",National Dex
251,Celebi,100,100,100,100,100,100,5,0.6,Psychic,Grass,Natural Cure,National Dex
252,Treecko,40,45,35,65,55,70,5,0.5,Grass,NA,"Overgrow, Unburden",National Dex
253,Grovyle,50,65,45,85,65,95,21.6,0.9,Grass,NA,"Overgrow, Unburden",National Dex
254,Sceptile,70,85,65,105,85,120,52.2,1.7,Grass,NA,"Overgrow, Unburden",National Dex
255,Torchic,45,60,40,70,50,45,2.5,0.4,Fire,NA,"Blaze, Speed Boost",National Dex
256,Combusken,60,85,60,85,60,55,19.5,0.9,Fire,Fighting,"Blaze, Speed Boost",National Dex
257,Blaziken,80,120,70,110,70,80,52,1.9,Fire,Fighting,"Blaze, Speed Boost",National Dex
258,Mudkip,50,70,50,50,50,40,7.6,0.4,Water,NA,"Torrent, Damp",National Dex
259,Marshtomp,70,85,70,60,70,50,28,0.7,Water,Ground,"Torrent, Damp",National Dex
26,Raichu,60,90,55,90,80,110,30,0.8,Electric,NA,"Static, Lightning Rod",Untiered
26,Raichu-Alola,60,85,50,95,85,110,21,0.7,Electric,Psychic,Surge Surfer,PU
260,Swampert,100,110,90,85,90,60,81.9,1.5,Water,Ground,"Torrent, Damp",National Dex
261,Poochyena,35,55,35,30,30,35,13.6,0.5,Dark,NA,"Run Away, Quick Feet, Rattled",LC
262,Mightyena,70,90,70,60,60,70,37,1,Dark,NA,"Intimidate, Quick Feet, Moxie",Untiered
263,Zigzagoon,38,30,41,30,41,60,17.5,0.4,Normal,NA,"Pickup, Gluttony, Quick Feet",National Dex
263,Zigzagoon-Galar,38,30,41,30,41,60,17.5,0.4,Dark,Normal,"Pickup, Gluttony, Quick Feet",National Dex
264,Linoone,78,70,61,50,61,100,32.5,0.5,Normal,NA,"Pickup, Gluttony, Quick Feet",National Dex
264,Linoone-Galar,78,70,61,50,61,100,32.5,0.5,Dark,Normal,"Pickup, Gluttony, Quick Feet",National Dex
265,Wurmple,45,45,35,20,30,20,3.6,0.3,Bug,NA,"Shield Dust, Run Away",National Dex
266,Silcoon,50,35,55,25,25,15,10,0.6,Bug,NA,Shed Skin,National Dex
267,Beautifly,60,70,50,100,50,65,28.4,1,Bug,Flying,"Swarm, Rivalry",National Dex
268,Cascoon,50,35,55,25,25,15,11.5,0.7,Bug,NA,Shed Skin,National Dex
269,Dustox,60,50,70,50,90,65,31.6,1.2,Bug,Poison,"Shield Dust, Compound Eyes",National Dex
27,Sandshrew,50,75,85,20,30,40,12,0.6,Ground,NA,"Sand Veil, Sand Rush",LC
27,Sandshrew-Alola,50,75,90,10,35,40,40,0.7,Ice,Steel,"Snow Cloak, Slush Rush",LC
270,Lotad,40,30,30,40,50,30,2.6,0.5,Water,Grass,"Swift Swim, Rain Dish, Own Tempo",LC
271,Lombre,60,50,50,60,70,50,32.5,1.2,Water,Grass,"Swift Swim, Rain Dish, Own Tempo",NFE
